Baden-Württemberg,2009,74
Bayern,2009,88
Berlin,2009,23
Brandenburg,2009,19
Bremen,2009,6
Hamburg,2009,13
Hessen,2009,45
Mecklenburg-Vorpommern,2009,12
Niedersachsen,2009,62
Nordrhein-Westfalen,2009,129
Rheinland-Pfalz,2009,30
Saarland,2009,9
Sachsen,2009,31
Sachsen-Anhalt,2009,17
Schleswig-Holstein,2009,23
Thüringen,2009,17
Baden-Württemberg,2013,76
Bayern,2013,92
Berlin,2013,24
Brandenburg,2013,19
Bremen,2013,5
Hamburg,2013,13
Hessen,2013,43
Mecklenburg-Vorpommern,2013,13
Niedersachsen,2013,59
Nordrhein-Westfalen,2013,128
Rheinland-Pfalz,2013,30
Saarland,2013,7
Sachsen,2013,32
Sachsen-Anhalt,2013,18
Schleswig-Holstein,2013,22
Thüringen,2013,17